technology,latency,width,depth,action,data_delta,address_delta,energy,area
45nm,5ns,32,128,read,0,0,3.84,13.312
45nm,5ns,32,128,write,0,0,5.12,13.312
45nm,5ns,32,128,idle,0,0,0,13.312
45nm,5ns,32,128,read,0,1,6.4,13.312
45nm,5ns,32,128,write,0,1,7.68,13.312
45nm,5ns,32,128,idle,0,1,0,13.312
45nm,5ns,32,128,read,1,0,12.8,13.312
45nm,5ns,32,128,write,1,0,14.08,13.312
45nm,5ns,32,128,idle,1,0,0,13.312
45nm,5ns,32,128,read,1,1,15.36,13.312
45nm,5ns,32,128,write,1,1,16.64,13.312
45nm,5ns,32,128,idle,1,1,0,13.312
45nm,5ns,32,1,read,0,0,0.03,0.104
45nm,5ns,32,1,write,0,0,0.04,0.104
45nm,5ns,32,1,idle,0,0,0,0.104
45nm,5ns,32,1,read,0,1,0.05,0.104
45nm,5ns,32,1,write,0,1,0.06,0.104
45nm,5ns,32,1,idle,0,1,0,0.104
45nm,5ns,32,1,read,1,0,0.1,0.104
45nm,5ns,32,1,write,1,0,0.11,0.104
45nm,5ns,32,1,idle,1,0,0,0.104
45nm,5ns,32,1,read,1,1,0.12,0.104
45nm,5ns,32,1,write,1,1,0.13,0.104
45nm,5ns,32,1,idle,1,1,0,0.104
